Actua Soccer 3 (Sony PlayStation 1, 2004) - Disc Only;3,50 EUR;+16,45 EUR shipping estimate;Sold  Sep 19, 2021Sold Item;from United Kingdom;
Actua Soccer Video Game for Sony PlayStation PS1 PAL With Manual | TESTED;5,25 EUR;+16,49 EUR shipping estimate;Sold  Sep 18, 2021Sold Item;from United Kingdom;
Actua Soccer 2 PlayStation 1 PS1 Video Game FREE P&P;3,49 EUR;+16,45 EUR shipping estimate;Sold  Sep 16, 2021Sold Item;from United Kingdom;
PS1 Actua Soccer 2 Playstation One Game With Manual;2,32 EUR;+32,94 EUR shipping estimate;Sold  Sep 1, 2021Sold Item;from United Kingdom;
Actua Soccer 2 Game PlayStation One PS1 Good Condition Manual Inc UK PAL;5,83 EUR;Shipping not specified;Sold  Aug 28, 2021Sold Item;from United Kingdom;
Actua Soccer Club Edition (Playstation 1 ),ps1 pal version Complete;5,78 EUR;+18,04 EUR shipping estimate;Sold  Aug 18, 2021Sold Item;from United Kingdom;
Actua Soccer 2  - PlayStation 1 - PAL - Complete ;1,17 EUR;+18,74 EUR shipping estimate;Sold  Aug 12, 2021Sold Item;from United Kingdom;
Actua Soccer 3 - PS1 (Sony Playstation 1) Complete (PAL) Played Once From NEW;2,43 EUR;+32,40 EUR shipping estimate;Sold  Aug 8, 2021Sold Item;from United Kingdom;
Actua Soccer - PS1 (Sony Playstation 1) (PAL) - DISC ONLY;2,32 EUR;+16,43 EUR shipping estimate;Sold  Aug 4, 2021Sold Item;from United Kingdom;
Actua Soccer SLIM CASE Video Game for Sony PlayStation PS1 PAL TESTED;4,66 EUR;+16,47 EUR shipping estimate;Sold  Aug 1, 2021Sold Item;from United Kingdom;
Actua Soccer 3 - PS1 (Sony Playstation 1) Complete (PAL) Black Label;5,20 EUR;+8,76 EUR shipping;Sold  Jul 28, 2021Sold Item;from United Kingdom;
Actua Soccer Club Edition PlayStation 1 PS1 Video Game FREE P&P;5,83 EUR;+16,50 EUR shipping estimate;Sold  Jul 20, 2021Sold Item;from United Kingdom;
Actua Soccer Club Edition Sony PlayStation 1 PS1 Game;4,66 EUR;+16,47 EUR shipping estimate;Sold  Jul 9, 2021Sold Item;from United Kingdom;
